dataset_index,track_uri
2000,7ckBnwQgVliXftLgHlpx9g
1908,6x53SJOV1PAZ8ZUwH4NFXQ
839,1hQFF33xi8ruavZNyovtUN
118,4lSf1f0NbguMj6djBHLVa8
1265,1Hk0QRlUFCHYG6zIvUh0Xd
152,0uPBYnoltG0oiZ2bOTy7iI
2026,496MA7l7OJ0oQtfSKHqvXH
14,2QUkDpFgjXHcilqVkjixEe
1174,40rvBMQizxkIqnjPdEWY1v
1157,19SElWDxuly4MEh9IRucFj
549,3klMnAnAWXdo6MomqXeJMn
1396,72nAHrq1bR6iDvng3qMpVf
1370,2aibwv5hGXSgw7Yru8IYTO
1743,5gWtkdgdyt5bZt9i6n3Kqd
345,2kulOHR2XY6YDZCWXb38hn
1554,6KkLg2UJB4sUIbtDyc8Esu
1431,2kSb3wYSOV996xA2NSmpck
703,2FfZg072w8RoxlMOR7M4CT
262,02M6vucOvmRfMxTXDUwRXu
857,4PvNRREAWalqbsnn7HEUeV
1152,1TRASRpEznLukhFWX09k0d
1315,6JPmyr2qSrgE6TgtSA48Dc
1734,052vSBPxqdmYRDlkSPiavc
819,4zii9cq9ZgxYJFnaxM3Tul
1751,4Oyl6oYSNeeZZP0OAxPVaU
924,6insm53ZpCzFSOrMPwnAeT
476,1rZah1UGXvgiQCqLVlq4hS
1046,5cXtT63OTadsjqfRkm5Dwd
451,0bRXwKfigvpKZUurwqAlEh
1326,2seg3LMM9YeZwncdTlWvcn
143,17oRGeekzqyhSqXWoCjVNp
499,3YtGCqleJmp8wg798qLVtM
2036,7Jp8plj7cKXHwrdLngwazi
1133,0O4vuJynWVVdyvoHvZtnk3
402,7MooGz4ZPE4bNxjFegR6Jx
882,1JNkvxJ4GtGbuokjn0buaZ
132,5eLOiEaYVR7I9SudgwSgTO
4,00pgvR1zUVYubZpdY7jryZ
1988,7C1p70Zs3pBZEQGeWMF8sS
407,69iQM8CLaJFn8oqEefgPYw
1498,4XE98WRGbBGRZ7jQ9wIwFt
140,2YNTdxrhOvKX1gZgf4NrMy
665,7mVSR3bCgEM9P4ed41SPOW
1210,54cWVWqgyFukgDKQYmaKM3
1799,5fXlyeTtG6Q9gnyxPFBk4l
1461,4PFAm88FBkY7IFtvCaGctZ
1982,4uxVdPtssxA5DipzyZB9LQ
2084,3ZBu8Cm48RcsqYAxfHDogR
258,7o9OVmPIE0oGbxP67WiT5r
1215,4YMQXzscifAREG0a7KNGhB
1070,22wKQbMH8n7wZfso2VcLJL
1655,7wZtIGsr1acUjLQMPIpM9A
1763,2hUFjIbpKaRqs97OjUAmXb
116,3ZHRiFQZaJXRvnhUt43pqO
187,53WV5mAY2opmFC0r0LjRdM
664,4FNVmJmwFsrayTvjUk1eG0
1397,4Hff1IjRbLGeLgFgxvHflk
1484,4W5xLazldaVUOdckG0vJ2t
1372,34aYkYrY3sXhEU9O4VQgtB
1635,6srpczSEgGgBEsYsxD8oDR
1737,3NDPcoeno6oasqi6Hs75Ax
1172,5axOkQnmQmwtjr4bv1Xt7i
1208,2AQq1I0LiIgfJ7vVLptvy8
481,0v9Wz8o0BT8DU38R4ddjeH
1168,1AJx5jJQy9pKKxcnHm85RY
872,7zIxcV689lVTl924lAf9Kn
1987,0X0Lz7LwpiIWcdGqVWaxXD
493,5iUQMwxUPdJBFeGkePtM66
149,2A17f6I4fh6GqYX0J8noGr
1808,5eLpZ8zv4yncE0RFZlRpD2
161,6TofPmzTTfCXt2KEERgkMn
1108,3gZUflBBfgS3QiTSTg0hk0
1042,1UWRGR9ZnFP0UAIB1VX9ZB
920,4ACxa9buEUnOdYEoPcnMpi
1605,3ydXDfJ7hRPAKePR1l0IGZ
2019,5PuLygJruA4KfhDVuKSZYS
1773,4ZlAB5Ki4A5KgHuGNriWNg
1774,72vsd9IEBIonmvIY7TEjXK
1338,1uXbwHHfgsXcUKfSZw5ZJ0
452,0golpXYIyNhpxz9GH1MMTR
1434,0Ud8Gu7XyqU3jzfsWd9fn3
288,5dEaQCUCJIQyJs5qVZYXOC
1112,2SiXAy7TuUkycRVbbWDEpo
130,1BCLtk5xX8H8tdD51hbJ2k
166,6GAemDMWAXa8wZOBkO1gar
405,4wTChU0tU44TAMC0xcQizi
557,3jY3ocFiQiWRmRUrpGsqF0
21,6iqAJh3X8bf94eo4reme5L
745,5MUvVmyKD6bBY0XDeWZjJJ
654,5fCxl609046LL8q6Ib5xaY
789,7DhYjNLksXZhbRQeheAums
625,1SoY5RSAqa8Z1Usz9LpAqT
1579,5y1iInKBJiE9Qfi4eKOal9
1764,70oK6ePjILgOuBUzRDOfCR
627,5Xc0N7o6JNUhrHi7ultPZS
1323,4STCTQ1h0VuWfvDyhGOxkv
2007,63FrXif0Pdu4NAPvTh87mw
591,2RcfeD1kA09Kjj6twD6eGs
818,7sT08ys9gXDvYNyTP80zvs
1426,7oOOI85fVQvVnK5ynNMdW7
996,3QntQwzIBV704yqCHLLmyH
268,51WmZon5S6BHKhjsummGIK
536,4z8sz6E4YyFuEkv5o7IJni
1473,595rq7QWOSaAnnPX7OZVca
1755,6lWT2iiPfzUiqFMNyFnR4b
225,7hqAdo1Wig886zA2jPDupG
393,3tZm76otWH20xzJC7icHCk
113,7nAvryV9PVCt9PQGPx7I0z
1958,5zOUeD2a4lOU9V4FxsuGEO
2052,0XHGKdViVybbZKqEZ2tXqV
1415,3Dwq1oiOFys6Sxr5SslmXw
1329,3QiAAp20rPC3dcAtKtMaqQ
1279,2oxM8K1cYoMmSjOw2kcWrY
386,3MgUWXXlvgUqXYHVws2EIW
1697,4bJbSERtCqK9D6DRUPMmMh
193,0F02KChKwbcQ3tk4q1YxLH
1835,0qOnSQQF0yzuPWsXrQ9paz
914,4odiyU3myG29Ld0wurMfE8
492,6fwdbPMwP1zVStm8FybmkO
358,6NayIkUhQX2HEixCmvbKvY
652,2BjUvisO4UVAtTHs4lYiqu
1867,0BCPKOYdS2jbQ8iyB56Zns
784,1RIhd7jjWDQwSKsbxxGArN
1934,6PyLw3l6ndolBrTPQp3Ibm
1258,3RDcUlLGp3SLp2AmUbUbls
1288,0mJbuGt59wWGa5QzxuW0xN
782,5YJ4BVvTFmVCxUyhKejHfR
1313,3HvaLbg8WgbFSG9V6Cby5a
1301,3i8rN4goJfBRqWTJRSj674
244,31L9yLXSj6LpCFupyMV6CR
491,43C2Q0wSw19wkIfwbDjbIb
1150,1KLIzFQTGeHD3DBhF7uhYs
1699,0hCB0YR03f6AmQaHbwWDe8
1122,4gphxUgq0JSFv2BCLhNDiE
435,4UIWa5IBrL2Fx9Z1nOB9TL
888,4fazGt0v2v2zkzddQOcDZD
1418,5LABCxgmP7DATATIJXOh6n
2088,4RnCPWlBsY7oUDdyruod7Y
1164,00wBRJMvirudkGVbU3t2bm
904,7zQRF2pG5pty9sck6L6hF4
1760,4bk6v5SBxNoVsbOvdOvUAJ
301,3VZmChrnVW8JK6ano4gSED
1363,0kr6d8wHDQPlzuET33NVn6
2048,3cDHC7RFgsbfbw245hxrCg
895,0eEVNYdzmuZZPFzfTokhXv
1972,3jmrIQTRL9ea0Xv4yCvJEJ
666,3fR0qvNve4KHzVVLKFJUsf
964,7nnIbg5MvyIceuuRzwFZjk
684,2kaENEd8VHzHxgYAYfCNCZ
757,6j0teRL3WdExzqmy334sh5
285,59FBFyeST1vqN8G41YgFS6
378,4RqUEAv0YXitpXVDbf6nD7
325,3mbcW1KDbnkdgjq03JHiQ6
1134,3dvhNq0P4rNaFqmj21jKF5
869,4SVLlDIeY6w5axpMVhy0qH
1817,3CVPyuuD6HxWXgPbbGqbg6
810,7LABrQFfRYcZUqUwng0Heb
314,1cy5US2dffz6QGBAIzOGkq
182,7G7ao6iFuNIn2k9cZhO5lP
283,4wAjmojVxc6Wbeca9XvnDo
1241,2K87XMYnUMqLcX3zvtAF4G
1494,16tU7M0qquqkou1MnipA9h
1264,1VCHNbal0VtE2plMRzvoho
167,5FHXxdJeq1iAE9PjDTEgyd
1624,44PelqgstAM0lb8rHPKfHq
2091,4zKE3RlC6pCCDH7YJpCGPK
1792,5XMjXjwCkJVmk0AHm7z8IV
1726,5s10CwwYyagouc8HEWkPIT
1444,0jx8zY5JQsS4YEQcfkoc5C
1430,7a0mPDySTtLmgE3NoIBNJp
2092,7xsLvTLqXL5pY9IfYyyB8r
1337,6ELFcF8Wke9n2y6iWWTZU7
487,6LTsvaebP6V9tJFvZxqi5M
1355,5iyE2d4U3Vc5cqY9mPTlpy
586,0b1eBCCgA7kg9SwtLZxhol
1826,2CP2xY3OA1adUgFW0lVwhw
292,54wWoqaydioPQmKEFi8IC3
1153,1GJexZ0cM0B4tA7VJxyhgy
1539,5PQmSHzWnlgG4EBuIqjac2
563,4pqr2uLq1CHNSaIeciJpEv
928,5fcRaiktOXuGauXlTfumSY
216,3bYYrC2lo0krPYuESCyfUe
455,2oBidqrsAh6fbShOhikBdv
1077,5mDh6k9zZ21jP66JxiDsom
2068,1mMLMZYXkMueg65jRRWG1l
1979,2GrVUoeeOWhsbeL4sZFpn4
1405,68NsOuum1AegLDhOIr2ADL
726,6nqRSVkHIlEAlgsE2i9APx
692,0i2jSWCwjjOVzfnvJJ2Sii
1255,6JLcz9UGiVxAmEZXlCucn5
1148,5qRLxhonsUt3MNEiPMSDza
1310,1hCbZv2f90LZbtYynkg7aZ
1307,5MZb6PQHTn9mS3yGcJMWjs
1435,7ofgPlilLgcw6G7fd2zNpT
117,0LlxZrQx7Ji0086Dj8rb4e
1207,6vs5XrxdpfsvD31EBjZ2nY
1804,6NDt5z8GKIHub37hBQ4x18
1017,7LfTMbUWpmsucYcU9aLDM5
1846,4t5ZKs0xMESWicljP2uBEl
956,7bJIdqzs2ARwxqoeJYo3qQ
232,1Bqxj0aH5KewYHKUg1IdrF
873,6dlpABcXrQKRU9G00i6Zba
622,3US6iSyLP2uS07gjjU2ZkG
1292,3GQnWBLRh9GiaP34RlbTbK
991,68TUAeelb7c3wzfMNPOjmG
516,2ANLarE8yHVsLWW21nj79M
593,7pe4BMS4P5NpJgMrHNchT1
880,7m2g1kKuF7Tre2PzjK3Lnh
2046,2J15PPaHQZrOnxCc2Pi9vr
86,0u4N6w5lBw5xMrzJitRWUo
322,3O4s2m47MFhnGqmpkjoKYk
811,6bUNEbXT7HovLW6BgPCBsb
1296,4sBvRSGYdjXhm4yBpB61m5
840,7sqK6f8dHVx3Q1GjFrVyGl
643,07C34boco6foHD6VOGB3ec
1685,7y9dOOkTIQJhii7DOGdA2Z
1903,5IFCyWplye09HytIP80RCF
803,0wQCKR9OFjYu5Kzrk7WivJ
1660,5igmAy750NCJWK1yBhkqxT
204,53DB6LJV9B8sz0p1s6tlGS
2063,7JYsArznYOjX2jsrT3UEnL
1352,3Cx4yrFaX8CeHwBMReOWXI
1618,0SHYBsRLsmRc2oVet4QcGm
526,3vgNmjuRDnGLxUFGCLkwpm
952,7wZZoaI2AykMAL4nyYMKv3
1816,5EeZuhVQdnUkpCiknMTeoP
246,0FDzzruyVECATHXKHFs9eJ
847,60A9cgTlUXxO7c2ucnen1x
1595,1jaeMuWDRTOchy12L2tYYw
1330,2randpfoi4pRjpDx5difUk
2056,4xBHZ2Mr0gCdFYXrPZuYXO
2085,1ZAjMknNremJaQX5dORIM0
92,3kP4gBaDZbTd2CEvroYsdf
1728,6rSuL1ViLO7Aljn2WD09s4
1139,2dU7I5Y3TtNYnMnifoRCs1
2049,6T7LTPOm4ZXezSs3bSGiGT
1714,0XGV1bem5W9ICY2rgleryV
1626,6R6ihJhRbgu7JxJKIbW57w
1669,750AGYnlvyMq9KCs3CgDxP
1849,44AyOl4qVkzS48vBsbNXaC
1261,15BlympuVSfZFROojEMY2M
531,0u0TlASkQWH2bGIZRu0HLh
391,2ezqQeBiC72gwMJoO4w1hA
394,7qbHUQWFTROpJac9eKeABa
1839,0WZVGXO8FYpK8v1IDxlOyE
719,2giFTKbsckzRwNlaSJATtM
318,0YL8rCxASTV9uBE9Sur0Ag
1753,5pyyN3d68eSFbwJRT0SIYO
673,5gYILl4h2MvycyX1sC8SMN
248,4Y7XAxTANhu3lmnLAzhWJW
870,1ILtQzEsKALgFVVlbeqCGS
1886,0LnYa8TzSer3DFtbl9F9hu
413,5GRGljFq4d1tRxaXe11ho4
829,6OxmtqWyLcbHIQ6jvrzosc
1513,6aBOKxmTC5VYV8yK5p31WB
1026,7KFUj2MunvS4cbauF04r6w
1827,4fixebDZAVToLbUCuEloa2
626,2LgUF32UKG7qXxEl44Yuje
1599,6X4f2HyaLrwTVi5juD27jY
1863,3gIj6BWtLyURuS2PxZajkg
1646,2bRTv94ezSCAYb04N7siLH
160,5lSSnYTe9Fm2KsHSnybC4F
1450,4sNwdacKyi2S26WrRtNama
336,3BGbqEDio3ocx1v4egIYr6
2072,0TQ9Hf5DwI9crGZSIlq445
1859,55Uw561aRaErlmIG1V1Q2u
1508,37RC87Ce8jeeKmnpYNExhP
1039,0wlFXHlZqVaLd6AInYsmhx
1515,39YYWeLAUCKLJA5ZHMElRL
122,6GDZA5jBIm8L8DQvU1Du57
1384,1venpPIzDTmjPBSVsM1IhB
801,5Jt4zdXTd9y1zxihiNYQI1
766,2O1qYJTA2BI5ypFFqEZhh4
592,1HmA8GlCB4oXADKkSeW51r
236,6XIiqQp6A0gzaIEaDszkZX
1144,5q3U3cXNtPvbBZAL2bKmbO
1040,71V89tJj9CboDyzncO6ZN2
517,59e7E2LMPZ2bhW5G6aCwX8
1115,3vV3cr2TpPqFk07zxYUbla
1104,6grPoklV4nQYAxLsAury9j
310,0M78T1W2eL8DsLgCufoGzM
414,2d8ctyCSbDMwrByGI6Ybpc
2033,2qwUkaQHhl86gI7zPC26P8
776,6XJLkhMp28qQJi8Yq3ARHN
1916,6bySdv7xPpVdJbBRvpe0cs
1671,3IJCSQoLF4YzPAKaxq2JLb
437,5rwq6R0Uq0BngM3rdmCeNg
723,4OnqJ1ml4Jgr5AAKNrrYCD
915,46lFttIf5hnUZMGvjK0Wxo
1762,08ZuYMwYKdxLrGufv125m0
398,7sDHATTxfsfqMsLxYMZhTo
1562,7r0Wirvj3lK3jK0I8UtRoB
1662,0LSLM0zuWRkEYemF7JcfEE
1852,5qWXXF3On2xUfVu1ND1NLN
1795,4MBTPJod6j1k2mPbPaPFfH
1959,5mxfqn2ztkmtCxUzdFGGg7
1340,3j0oJtPonSYt9f5jHVLb91
1560,1yzbqrSF0vuaO7nuKYSd6f
1648,1DKhNLbprRP2CiK8jxEAOC
1200,3MrRksHupTVEQ7YbA0FsZK
1538,0wmZOCWtc9OfUTkR5isTzi
1283,6zaWWx0Id4YaHKFODpeGtN
838,2bbhyUWJ5VjdfI3P4PRLu2
2004,1O0OuHwJt7uHL4JDT1uZRP
112,2S9ypm9J9HjPcOGEAHrvRL
1735,6wNeKPXF0RDKyvfKfri5hf
1895,7cvkXf3AwPGT041PyOi5VX
1328,0D4ZDFhwclf2FxZb5wm3qm
201,07DWACsD58aEdq6XnDadLh
1998,5vBuxtwitUimHR2gBOnJYR
1137,3G7tRC24Uh09Hmp1KZ7LQ2
371,6kPxXhjSvy8RsmZBAJUiFs
669,6OnS0xygrZT780xxCzJqyY
410,3gHc5XTAywdFQUsHS6DD7G
308,29wJiSQcze8HEmxkUQykyp
1285,7hHFMRzal61868gqdNIFgm
1191,33daQo3S8j2NcJstEHXwhQ
1522,0yORE7Aw2erLpuYlws1SJJ
1202,1NXguUURlFigDpGEcdKVUT
1035,7BSeKFoxuIBnkHEHsWscI9
1125,77uwHn9c6GsqOrVV6JacnJ
1107,5Bw31Vx2QMJEnafoYve8md
294,2bnUATKYS3JykGpZjjlbXV
1828,38iU2jg98IZZEIJPrP7aWD
1453,7hVhRCDV100Jq26NGR7adw
1915,0flZtKtmkZMNqFF7V7Yfmu
168,0301nLjG0ti26rx5ZmfqtP
1664,044tBBCWOlQD4Si1k5wlkC
1436,0ofHAoxe9vBkTCp2UQIavz
1089,208bYsadJ56km31IENM2qS
1715,1We9y0dSphaMHt4owfGWpw
469,2okC0OWtgS86P2LC18IzHy
1561,7ygwrqp14azpcc6y8Pg6bo
1639,6ZFbXIJkuI1dVNWvzJzown
241,40YcuQysJ0KlGQTeGUosTC
655,387wn4cWaWrqfLrzYIp8rB
1777,3dNjUFt6EFU4Gq6Q5vfJqf
1194,4urxRqBRiaH0i20OKBsgxc
2022,3Tu7uWBecS6GsLsL8UONKn
1992,4Uj1pTWXl1U3ruDYOQIaxo
1267,35x6JdLCr4VWWR5ShNoAWo
844,5CdJveJgiGXoGwDFqF6afp
1093,66pxmg3Jhjm09tHoWR1wVR
397,5i3ju2UZ4JUc3K6QBq9vO3
1457,58lK5WuCDHEnPY5jIJ8z9U
35,4XFYnfBxhRtVvR2hllhqup
1427,5lA3pwMkBdd24StM90QrNR
1068,2kWowW0k4oFymhkr7LmvzO
667,6J8KRB88OX9oB5zmh3VxVA
1547,6jYIc1aO9W3W5RYOVFL10c
320,4G14XbZpRGNcMTpxwRHrB2
1470,5ihS6UUlyQAfmp48eSkxuQ
556,7rDjPg4tmTWByDSWyLfBE9
1691,26nKLWXp4l91qxdrOlCEP9
1090,08Wc3X7XNSyF8WYBPt2L8E
1193,5y7NRMui3GLbwj2zBaOqo1
864,0gMX5qfSAKTPFdVQMRyqr6
2061,6dVZCbi9CYtD9LjAHXRjIG
1888,08CkxtXMDT4mYQ0dHwUgL9
899,2Foc5Q5nqNiosCNqttzHof
347,2VwhoKTOxrfhkpCfIk1FhW
1443,23xpSDpGa9RoGddlT6OTV3
559,0D9JxmmiRFkJrsJ93LwSqK
668,1Gl6X2tCg9956a4LrcXFeX
36,46229uDbjzfzq0jawwawcp
640,5gRUHiPQKr4JNh1cFR50PF
1705,3KhF2YiNpJvGpfiCW45R6D
1893,5nB5bek72WORC5jegCIPNk
2083,37d8O4cIq36tssCoJnhJxg
1353,0XfuvxptNRVoEWp7SaneV8
1627,2BH60iEvnRAWxGGJVRrz8d
834,4OTh5C0EZpYAh44k02eSJN
715,49tqyhwvGuhjFklMq6BMBI
1195,3umZYbgTkZEnZCae8HKqZh
1896,0755vnFQZLSgHHWbR1qCjY
887,2He3NOyqtLNE3RQPpeDdSb
1410,77vDHmiANW3JS2gNN5q7pI
1247,4v1DBjXexqj9YCvGKOWEY1
471,25rc1PFgPvtV6GFSloyOI0
794,37nXsqE1XW0cxOQvIMsmFc
1841,3MOECVkNshqHYTPt5DZcdN
114,12KP3TP0BYKhYWp0H3YXtq
1388,4M88Wd7Aps5LGRWMOC7gSH
446,5qfZRNjt2TkHEL12r3sDEU
2047,6KmnejQFYdWUVUJh6zwEce
88,4waqcUQWdj0yH26STWl2Rq
1634,56KTVYhK9alJMt0N8A1jOK
725,2wibvZtPbMFbZf2lOwnzeK
1589,5I1RLZDjJhUzYH5GrzSoKa
660,3Cygu4ytxgsXL3JzPbQV8E
845,4SF1747p541umnykBp352Q
708,2bd5OLLqIiE4BnU7Wi52K2
304,1oYZm4FC6H2SPwZuHeHQlg
81,5kIcrM3QVD4BQPFMszQnU1
103,0jr6tT2vc4cIFPHb6wufG3
2077,254bXAqt3zP6P50BdQvEsq
45,33jDWSi3Dvb12xfojksReF
1196,21rrpIokftsRDF2StX3TcI
41,5Fli1xRi01bvCjsZvKWro0
340,4XX1pFUkQOZTYp6Hb6a6Ae
858,2bJvI42r8EF3wxjOuDav4r
1342,4JRem7xHp2l0kmUvt9zCKu
1581,1ajMtpXxmsezJwEUJ25cGs
189,3D0vHU0QeUsLfJk9qP0Nje
199,57pUHpCltt09b5w1W6m9qb
1119,3bEIbBCkFaqzvtWjKdQ74c
1936,1bX3phMuQSmIbPyj9qaIzO
1003,6sio3UGjtYpYgg9Ez3Q6os
461,5xwpXWWkfJRqg1S27oVxh4
1923,7JCsYwXLVBz1rdqDwMxKed
235,1c8vJC0kzPNU3gx1ThbfQK
1980,01y5iYLkUGP0MoIsmMhjow
1467,550rQQCGkrTzvp4SfpOPzx
1716,1mB7dCUM7sPyNab6R43nlj
547,4c7KZ53NlI37sWXbaJhPOq
229,7K1QvbTr4KqK8Np5SpFC6S
1645,0b05H1iP6hdx8ue7XQlC5J
76,1YrZktczkzn59XaWXMCYY2
506,2Vo3sVSCltAaYU1u0f9ASz
1676,5v7kaZNsnyByrSJOfO8gKq
744,0B8QzDH7YWih85V5SEMnyJ
1690,5nt7eRlOOJhrsBSrHWiY4I
1586,1kAZE1Wtwg8sd7lCyLUweb
1582,2bhc6XrBDzSNaSObCbGmmo
1928,1pIX7Ec8RnQi01T4UaoHin
548,0oaNUiiRb6cGRYzf0wsqPd
733,0nfyypmdJkatvTeqevtme8
353,0ePS0ih4UzXsEpMdt1kszU
511,6ZziEeo8rdjBeqDE6kFdfD
465,5Rkbnhwkb6oiqq1HQcXirN
1814,3hWxJGRO3noWNCUgv8blO6
639,7j2Y1jgU5ebtNnG26e607k
868,5RhzjsTmeksgv1hXMZFWYY
1206,2zfH2NDPDBDjNaPNJ60lnb
767,0ro5QCkSCtbfhMHnvMase3
541,2bEWRMWfH5n8QEuXgVlcxf
1759,6QOZWUCG5vq4xtU3mW2ZA2
1955,0IKjnHpwV5TnEHADgfk9gQ
119,4br7SWSJzKEidDDlEZ9xwe
1463,1jUA4rb6ZCv4gby4YU53xq
1830,6Zo3wgDE076K2AuiGZF3CS
296,5LkQpbBFgoyQm1jGlznT7p
101,7d05Cx72W1WsWUw7MAD7ia
1481,3GKKCjidbffsVOECWr4eHV
971,4G29gmjS7Z2nEFeM7FA6wx
127,0KKkJNfGyhkQ5aFogxQAPU
1188,5hheGdf1cb4rK0FNiedCfK
126,5knuzwU65gJK7IF5yJsuaW
1781,3G3EvGRQUgyhn5icKOiiFP
1346,0UgHkodbptL6XQBfT5HOK1
2013,4B4zDmbHdkXZ1wUJv1yKFy
155,3qVD67mL0JxgU0VQVKR52G
1861,2rgtCOVK2tpfao2VjURn84
1211,4ClGNWLK9vZMBtO0CpnyOE
219,0hlou0hEfL2aS9FpJMX2OW
632,5oMKSjKQyYKGSTFgXOWLtF
313,0tKjVEJlX3IZ5L1rEJc5hh
1621,4zHdw56spOQbEk7T3wXs9Q
1569,7aM71oOz09ccJGzsKeIfpx
462,5tc5fqSM2rwgcwGcJUx8U1
1556,4InLm5a9Qtkru6YxEjM4Qc
1455,57nNNkgk768QVXq3uHxu5e
1224,5QTxFnGygVM4jFQiBovmRo
222,73lYI49LhfsscO33ohrGN0
849,1Ogf7FqBhlkt8rLC6tDT2A
242,69uxyAqqPIsUyTO8txoP2M
522,7EOgYEXi2w5SOcNVCjCvzy
1546,7BPVjSTnKJuO4t9IaXgAXT
1479,0IYbYGGVKQGlcaIu9Bs1Iz
1757,3bOfawOrDpk59qq9iuvJdw
2100,4z1O25cq9g2kuJemmUxc21
170,0PDUDa38GO8lMxLCRc4lL1
2041,0hk30xPCTJYupbonCBBNEI
403,6v0WLvjyQT398T4C0eMmKi
1709,55KYlnsC6nYnr3IykbmJwE
890,1Q6oJGLbh2s1OocPyMKkJr
1490,6glsMWIMIxQ4BedzLqGVi4
759,58lknB6kkfcDjMpCfx7rLH
525,5PfTI3zrQbZEWcQdycMqJM
736,0NEBjIdTbeIdEmbrqFqIZR
712,2t34JLaa7IMm07Ut0Z1Vi7
568,2hyO3vvNmG61IJX50IbqNz
529,4GINkVQpXryhLFuLF0mrZw
2021,3eqT34f3rxmm4dR7madDIM
209,7DMWyUXlGvljqCvGA06FII
543,48bo7uexDvAThcRDvEB2W7
1081,4o6BgsqLIBViaGVbx5rbRk
370,1E252QgKGNYBXfwaiXZtZy
1019,1lEk3U3MzbDeL5MNHkE9JU
551,2sJP8a1vd7Yyh3o0IHYpll
1252,6diqWLi9ZLRnbTpd39eCfX
926,4xwQXoPQP2RJ6j98vgJgVV
343,53Za5vyGc1x7GxgJVRjRKc
255,73y649QhnXdcm6fRdvfraO
42,2UyWClHKt6fut3IpS2tJiR
916,1I8tHoNBFTuoJAlh4hfVVE
584,0HbdAS6I0TUmNKBZ0ogzEo
1135,7APnOekgYhDyzZLsNHBZ0J
1041,1PdaKQIgSf73iEpojIriau
2090,0L5gFNrzHyh4OhMwEz6DGS
682,3RvwOyRn1KglgJgKJm2ORS
